Neuron 0 → Top40 frames
   Video 4, Frame 2160, Value 5.8111
   Video 4, Frame 2078, Value 5.8094
   Video 4, Frame 2168, Value 5.8080
   Video 4, Frame 2150, Value 5.8076
   Video 4, Frame 2151, Value 5.8073
   Video 4, Frame 2152, Value 5.8058
   Video 4, Frame 2103, Value 5.8057
   Video 4, Frame 2149, Value 5.8051
   Video 4, Frame 2153, Value 5.8051
--------------------------------------------------
Neuron 4 → Top40 frames
   Video 8, Frame 2406, Value 5.3815
   Video 8, Frame 2405, Value 5.3812
   Video 8, Frame 2404, Value 5.3805
   Video 8, Frame 2403, Value 5.3798
   Video 8, Frame 2402, Value 5.3795
   Video 8, Frame 2401, Value 5.3788
   Video 15, Frame 2685, Value 5.3744
   Video 15, Frame 2686, Value 5.3740
   Video 15, Frame 2687, Value 5.3734
   Video 15, Frame 2684, Value 5.3725
   Video 15, Frame 2688, Value 5.3712
   Video 15, Frame 2689, Value 5.3710
   Video 15, Frame 2690, Value 5.3709
   Video 15, Frame 2691, Value 5.3702
   Video 15, Frame 2682, Value 5.3698
   Video 15, Frame 2683, Value 5.3694
   Video 8, Frame 2400, Value 5.3690
   Video 15, Frame 2680, Value 5.3689
   Video 15, Frame 2681, Value 5.3687
   Video 8, Frame 2399, Value 5.3666
   Video 28, Frame 1780, Value 5.3655
   Video 28, Frame 1779, Value 5.3644
   Video 8, Frame 2397, Value 5.3636
   Video 8, Frame 2396, Value 5.3633
   Video 15, Frame 2679, Value 5.3631
   Video 14, Frame 1847, Value 5.3630
   Video 14, Frame 1853, Value 5.3629
   Video 28, Frame 1778, Value 5.3628
   Video 14, Frame 1851, Value 5.3628
   Video 14, Frame 1852, Value 5.3624
   Video 14, Frame 1849, Value 5.3623
   Video 14, Frame 1850, Value 5.3623
   Video 8, Frame 2398, Value 5.3622
   Video 28, Frame 1777, Value 5.3618
   Video 28, Frame 1776, Value 5.3616
   Video 15, Frame 2678, Value 5.3611
   Video 28, Frame 1774, Value 5.3609
   Video 14, Frame 1848, Value 5.3607
   Video 14, Frame 1846, Value 5.3607
   Video 28, Frame 1775, Value 5.3606
--------------------------------------------------
Neuron 5 → Top40 frames
   Video 15, Frame 780, Value 1.9657
   Video 2, Frame 779, Value 1.9656
   Video 15, Frame 779, Value 1.9655
   Video 2, Frame 778, Value 1.9654
   Video 15, Frame 787, Value 1.9651
   Video 15, Frame 781, Value 1.9651
   Video 2, Frame 782, Value 1.9650
   Video 15, Frame 778, Value 1.9650
   Video 15, Frame 791, Value 1.9650
   Video 10, Frame 791, Value 1.9650
   Video 10, Frame 797, Value 1.9650
   Video 15, Frame 783, Value 1.9649
   Video 2, Frame 781, Value 1.9649
   Video 5, Frame 820, Value 1.9649
   Video 5, Frame 823, Value 1.9649
   Video 5, Frame 824, Value 1.9649
   Video 5, Frame 804, Value 1.9649
   Video 5, Frame 821, Value 1.9649
   Video 15, Frame 788, Value 1.9648
   Video 10, Frame 790, Value 1.9648
   Video 15, Frame 811, Value 1.9647
   Video 5, Frame 813, Value 1.9647
   Video 2, Frame 803, Value 1.9647
