   Video 4, Frame 830, Value 1.9605
   Video 4, Frame 831, Value 1.9599
   Video 5, Frame 776, Value 1.9598
   Video 5, Frame 777, Value 1.9605
   Video 5, Frame 778, Value 1.9618
   Video 5, Frame 779, Value 1.9623
   Video 5, Frame 780, Value 1.9630
   Video 5, Frame 781, Value 1.9635
   Video 5, Frame 782, Value 1.9626
   Video 5, Frame 783, Value 1.9628
   Video 5, Frame 784, Value 1.9612
   Video 5, Frame 785, Value 1.9614
   Video 5, Frame 786, Value 1.9623
   Video 5, Frame 787, Value 1.9619
   Video 5, Frame 788, Value 1.9624
   Video 5, Frame 789, Value 1.9626
   Video 5, Frame 790, Value 1.9617
   Video 5, Frame 791, Value 1.9622
   Video 5, Frame 792, Value 1.9629
   Video 5, Frame 793, Value 1.9636
   Video 5, Frame 794, Value 1.9636
   Video 5, Frame 795, Value 1.9640
   Video 5, Frame 796, Value 1.9633
   Video 5, Frame 797, Value 1.9631
   Video 5, Frame 798, Value 1.9624
   Video 5, Frame 799, Value 1.9629
   Video 5, Frame 800, Value 1.9635
   Video 5, Frame 801, Value 1.9629
   Video 5, Frame 802, Value 1.9640
   Video 5, Frame 803, Value 1.9639
   Video 5, Frame 804, Value 1.9649
   Video 5, Frame 805, Value 1.9641
   Video 5, Frame 806, Value 1.9634
   Video 5, Frame 807, Value 1.9642
   Video 5, Frame 808, Value 1.9632
   Video 5, Frame 809, Value 1.9634
   Video 5, Frame 810, Value 1.9635
   Video 5, Frame 811, Value 1.9637
   Video 5, Frame 812, Value 1.9638
   Video 5, Frame 813, Value 1.9647
   Video 5, Frame 814, Value 1.9636
   Video 5, Frame 815, Value 1.9637
   Video 5, Frame 816, Value 1.9642
   Video 5, Frame 817, Value 1.9643
   Video 5, Frame 818, Value 1.9643
   Video 5, Frame 819, Value 1.9641
   Video 5, Frame 820, Value 1.9649
   Video 5, Frame 821, Value 1.9649
   Video 5, Frame 822, Value 1.9641
   Video 5, Frame 823, Value 1.9649
   Video 5, Frame 824, Value 1.9649
   Video 8, Frame 808, Value 1.9619
   Video 8, Frame 809, Value 1.9620
   Video 8, Frame 810, Value 1.9617
   Video 8, Frame 811, Value 1.9614
   Video 8, Frame 812, Value 1.9603
   Video 8, Frame 813, Value 1.9607
   Video 8, Frame 814, Value 1.9598
   Video 8, Frame 815, Value 1.9613
   Video 8, Frame 816, Value 1.9615
   Video 8, Frame 817, Value 1.9611
   Video 8, Frame 818, Value 1.9623
